"pwsid","category","hh_use","service","commodity_unit_price"
"CA0110005","inside",16000,"water",7.75
"CA0110006","inside",0,"sewer",0
"CA0110006","inside",1000,"sewer",0
"CA0110006","inside",2000,"sewer",0
"CA0110006","inside",3000,"sewer",0
"CA0110006","inside",4000,"sewer",0
"CA0110006","inside",5000,"sewer",0
"CA0110006","inside",6000,"sewer",0
"CA0110006","inside",7000,"sewer",0
"CA0110006","inside",8000,"sewer",0
"CA0110006","inside",9000,"sewer",0
"CA0110006","inside",10000,"sewer",0
"CA0110006","inside",11000,"sewer",0
"CA0110006","inside",12000,"sewer",0
"CA0110006","inside",13000,"sewer",0
"CA0110006","inside",14000,"sewer",0
"CA0110006","inside",15000,"sewer",0
"CA0110006","inside",16000,"sewer",0
"CA0110006","inside",0,"water",0
"CA0110006","inside",1000,"water",7.75
"CA0110006","inside",2000,"water",7.76
"CA0110006","inside",3000,"water",7.75
"CA0110006","inside",4000,"water",8.2
"CA0110006","inside",5000,"water",8.47
"CA0110006","inside",6000,"water",8.64
"CA0110006","inside",7000,"water",8.77
"CA0110006","inside",8000,"water",8.87
"CA0110006","inside",9000,"water",8.95
"CA0110006","inside",10000,"water",9.12
"CA0110006","inside",11000,"water",9.31
"CA0110006","inside",12000,"water",9.47
"CA0110006","inside",13000,"water",9.61
"CA0110006","inside",14000,"water",9.72
"CA0110006","inside",15000,"water",9.82
"CA0110006","inside",16000,"water",9.91
"CA0110006","outside",0,"sewer",0
"CA0110006","outside",1000,"sewer",0
"CA0110006","outside",2000,"sewer",0
"CA0110006","outside",3000,"sewer",0
"CA0110006","outside",4000,"sewer",0
"CA0110006","outside",5000,"sewer",0
"CA0110006","outside",6000,"sewer",0
"CA0110006","outside",7000,"sewer",0
"CA0110006","outside",8000,"sewer",0
"CA0110006","outside",9000,"sewer",0
"CA0110006","outside",10000,"sewer",0
"CA0110006","outside",11000,"sewer",0
"CA0110006","outside",12000,"sewer",0
"CA0110006","outside",13000,"sewer",0
"CA0110006","outside",14000,"sewer",0
"CA0110006","outside",15000,"sewer",0
"CA0110006","outside",16000,"sewer",0
"CA0110006","outside",0,"water",0
"CA0110006","outside",1000,"water",8.92
"CA0110006","outside",2000,"water",8.91
"CA0110006","outside",3000,"water",8.91
"CA0110006","outside",4000,"water",9.43
"CA0110006","outside",5000,"water",9.73
"CA0110006","outside",6000,"water",9.94
"CA0110006","outside",7000,"water",10.09
"CA0110006","outside",8000,"water",10.2
"CA0110006","outside",9000,"water",10.29
"CA0110006","outside",10000,"water",9.64
"CA0110006","outside",11000,"water",8.77
"CA0110006","outside",12000,"water",8.04
"CA0110006","outside",13000,"water",7.42
"CA0110006","outside",14000,"water",6.89
"CA0110006","outside",15000,"water",6.43
"CA0110006","outside",16000,"water",6.03
"CA0110008","inside",0,"sewer",0
"CA0110008","inside",1000,"sewer",0
"CA0110008","inside",2000,"sewer",0
"CA0110008","inside",3000,"sewer",0
"CA0110008","inside",4000,"sewer",0
"CA0110008","inside",5000,"sewer",0
"CA0110008","inside",6000,"sewer",0
"CA0110008","inside",7000,"sewer",0
"CA0110008","inside",8000,"sewer",0
"CA0110008","inside",9000,"sewer",0
"CA0110008","inside",10000,"sewer",0
"CA0110008","inside",11000,"sewer",0
"CA0110008","inside",12000,"sewer",0
"CA0110008","inside",13000,"sewer",0
"CA0110008","inside",14000,"sewer",0
"CA0110008","inside",15000,"sewer",0
"CA0110008","inside",16000,"sewer",0
"CA0110008","inside",0,"water",0
"CA0110008","inside",1000,"water",4.75
"CA0110008","inside",2000,"water",4.74
"CA0110008","inside",3000,"water",4.75
"CA0110008","inside",4000,"water",4.74
"CA0110008","inside",5000,"water",4.75
"CA0110008","inside",6000,"water",4.74
"CA0110008","inside",7000,"water",4.75
"CA0110008","inside",8000,"water",4.78
"CA0110008","inside",9000,"water",4.83
"CA0110008","inside",10000,"water",4.88
"CA0110008","inside",11000,"water",4.91
"CA0110008","inside",12000,"water",4.94
"CA0110008","inside",13000,"water",4.97
"CA0110008","inside",14000,"water",4.99
"CA0110008","inside",15000,"water",5.01
"CA0110008","inside",16000,"water",5.04
"CA0110009","inside",0,"sewer",0
"CA0110009","inside",1000,"sewer",0
"CA0110009","inside",2000,"sewer",0
"CA0110009","inside",3000,"sewer",0
"CA0110009","inside",4000,"sewer",0
"CA0110009","inside",5000,"sewer",0
"CA0110009","inside",6000,"sewer",0
"CA0110009","inside",7000,"sewer",0
"CA0110009","inside",8000,"sewer",0
"CA0110009","inside",9000,"sewer",0
"CA0110009","inside",10000,"sewer",0
"CA0110009","inside",11000,"sewer",0
"CA0110009","inside",12000,"sewer",0
"CA0110009","inside",13000,"sewer",0
"CA0110009","inside",14000,"sewer",0
"CA0110009","inside",15000,"sewer",0
"CA0110009","inside",16000,"sewer",0
"CA0110009","inside",0,"water",0
"CA0110009","inside",1000,"water",5.15
"CA0110009","inside",2000,"water",5.14
"CA0110009","inside",3000,"water",5.15
"CA0110009","inside",4000,"water",5.15
"CA0110009","inside",5000,"water",5.15
"CA0110009","inside",6000,"water",5.15
"CA0110009","inside",7000,"water",5.15
"CA0110009","inside",8000,"water",5.15
"CA0110009","inside",9000,"water",5.15
"CA0110009","inside",10000,"water",5.15
"CA0110009","inside",11000,"water",5.15
"CA0110009","inside",12000,"water",5.15
"CA0110009","inside",13000,"water",5.15
"CA0110009","inside",14000,"water",5.15
"CA0110009","inside",15000,"water",5.15
"CA0110009","inside",16000,"water",5.15
"CA0110011","inside",0,"sewer",0
"CA0110011","inside",1000,"sewer",0
"CA0110011","inside",2000,"sewer",0
"CA0110011","inside",3000,"sewer",0
"CA0110011","inside",4000,"sewer",0
"CA0110011","inside",5000,"sewer",0
"CA0110011","inside",6000,"sewer",0
"CA0110011","inside",7000,"sewer",0
"CA0110011","inside",8000,"sewer",0
"CA0110011","inside",9000,"sewer",0
"CA0110011","inside",10000,"sewer",0
"CA0110011","inside",11000,"sewer",0
"CA0110011","inside",12000,"sewer",0
"CA0110011","inside",13000,"sewer",0
"CA0110011","inside",14000,"sewer",0
"CA0110011","inside",15000,"sewer",0
"CA0110011","inside",16000,"sewer",0
"CA0110011","inside",0,"water",0
"CA0110011","inside",1000,"water",4.4
"CA0110011","inside",2000,"water",4.4
"CA0110011","inside",3000,"water",4.4
"CA0110011","inside",4000,"water",4.4
"CA0110011","inside",5000,"water",4.4
"CA0110011","inside",6000,"water",4.47
"CA0110011","inside",7000,"water",4.55
"CA0110011","inside",8000,"water",4.61
"CA0110011","inside",9000,"water",4.66
"CA0110011","inside",10000,"water",4.69
"CA0110011","inside",11000,"water",4.72
"CA0110011","inside",12000,"water",4.75
"CA0110011","inside",13000,"water",4.77
"CA0110011","inside",14000,"water",4.79
"CA0110011","inside",15000,"water",4.8
"CA0110011","inside",16000,"water",4.82
"CA0210002","inside",0,"sewer",0
"CA0210002","inside",1000,"sewer",40.2
"CA0210002","inside",2000,"sewer",40.2
"CA0210002","inside",3000,"sewer",40.2
"CA0210002","inside",4000,"sewer",40.2
"CA0210002","inside",5000,"sewer",40.2
"CA0210002","inside",6000,"sewer",40.2
"CA0210002","inside",7000,"sewer",40.2
"CA0210002","inside",8000,"sewer",40.2
"CA0210002","inside",9000,"sewer",40.2
"CA0210002","inside",10000,"sewer",40.2
"CA0210002","inside",11000,"sewer",40.2
"CA0210002","inside",12000,"sewer",40.2
"CA0210002","inside",13000,"sewer",40.2
"CA0210002","inside",14000,"sewer",40.2
"CA0210002","inside",15000,"sewer",40.2
"CA0210002","inside",16000,"sewer",40.2
"CA0210002","inside",0,"water",0
"CA0210002","inside",1000,"water",13.9
"CA0210002","inside",2000,"water",13.9
"CA0210002","inside",3000,"water",13.9
"CA0210002","inside",4000,"water",13.9
"CA0210002","inside",5000,"water",13.9
"CA0210002","inside",6000,"water",13.9
"CA0210002","inside",7000,"water",13.9
"CA0210002","inside",8000,"water",13.9
"CA0210002","inside",9000,"water",13.9
"CA0210002","inside",10000,"water",13.9
"CA0210002","inside",11000,"water",13.9
"CA0210002","inside",12000,"water",13.9
"CA0210002","inside",13000,"water",13.9
"CA0210002","inside",14000,"water",13.9
"CA0210002","inside",15000,"water",13.9
"CA0210002","inside",16000,"water",13.9
"CA0300016","inside",0,"sewer",0
"CA0300016","inside",1000,"sewer",0
"CA0300016","inside",2000,"sewer",0
"CA0300016","inside",3000,"sewer",0
"CA0300016","inside",4000,"sewer",0
"CA0300016","inside",5000,"sewer",0
"CA0300016","inside",6000,"sewer",0
"CA0300016","inside",7000,"sewer",0
"CA0300016","inside",8000,"sewer",0
"CA0300016","inside",9000,"sewer",0
"CA0300016","inside",10000,"sewer",0
"CA0300016","inside",11000,"sewer",0
"CA0300016","inside",12000,"sewer",0
"CA0300016","inside",13000,"sewer",0
"CA0300016","inside",14000,"sewer",0
"CA0300016","inside",15000,"sewer",0
"CA0300016","inside",16000,"sewer",0
"CA0300016","inside",0,"water",0
"CA0300016","inside",1000,"water",2.35
"CA0300016","inside",2000,"water",2.35
"CA0300016","inside",3000,"water",2.35
"CA0300016","inside",4000,"water",2.35
"CA0300016","inside",5000,"water",2.35
"CA0300016","inside",6000,"water",2.35
"CA0300016","inside",7000,"water",2.35
"CA0300016","inside",8000,"water",2.35
"CA0300016","inside",9000,"water",2.35
"CA0300016","inside",10000,"water",2.35
"CA0300016","inside",11000,"water",2.39
"CA0300016","inside",12000,"water",2.42
"CA0300016","inside",13000,"water",2.44
"CA0300016","inside",14000,"water",2.46
"CA0300016","inside",15000,"water",2.48
"CA0300016","inside",16000,"water",2.58
"CA0300019","inside",0,"sewer",0
"CA0300019","inside",1000,"sewer",0
"CA0300019","inside",2000,"sewer",0
"CA0300019","inside",3000,"sewer",0
"CA0300019","inside",4000,"sewer",0
"CA0300019","inside",5000,"sewer",0
"CA0300019","inside",6000,"sewer",0
"CA0300019","inside",7000,"sewer",0
"CA0300019","inside",8000,"sewer",0
"CA0300019","inside",9000,"sewer",0
"CA0300019","inside",10000,"sewer",0
"CA0300019","inside",11000,"sewer",0
"CA0300019","inside",12000,"sewer",0
"CA0300019","inside",13000,"sewer",0
"CA0300019","inside",14000,"sewer",0
"CA0300019","inside",15000,"sewer",0
"CA0300019","inside",16000,"sewer",0
"CA0300019","inside",0,"water",0
"CA0300019","inside",1000,"water",0
"CA0300019","inside",2000,"water",0
"CA0300019","inside",3000,"water",0
"CA0300019","inside",4000,"water",0
"CA0300019","inside",5000,"water",0
"CA0300019","inside",6000,"water",0
"CA0300019","inside",7000,"water",0
"CA0300019","inside",8000,"water",0
"CA0300019","inside",9000,"water",0
"CA0300019","inside",10000,"water",0
"CA0300019","inside",11000,"water",0.18
"CA0300019","inside",12000,"water",0.33
"CA0300019","inside",13000,"water",0.46
"CA0300019","inside",14000,"water",0.57
"CA0300019","inside",15000,"water",0.67
"CA0300019","inside",16000,"water",0.94
"CA0310001","inside",0,"sewer",0
"CA0310001","inside",1000,"sewer",0
"CA0310001","inside",2000,"sewer",0
"CA0310001","inside",3000,"sewer",0
"CA0310001","inside",4000,"sewer",0
"CA0310001","inside",5000,"sewer",0
"CA0310001","inside",6000,"sewer",0
"CA0310001","inside",7000,"sewer",0
"CA0310001","inside",8000,"sewer",0
"CA0310001","inside",9000,"sewer",0
"CA0310001","inside",10000,"sewer",0
"CA0310001","inside",11000,"sewer",0
"CA0310001","inside",12000,"sewer",0
"CA0310001","inside",13000,"sewer",0
"CA0310001","inside",14000,"sewer",0
"CA0310001","inside",15000,"sewer",0
"CA0310001","inside",16000,"sewer",0
"CA0310001","inside",0,"water",0
"CA0310001","inside",1000,"water",4.33
"CA0310001","inside",2000,"water",4.33
"CA0310001","inside",3000,"water",4.33
"CA0310001","inside",4000,"water",4.33
"CA0310001","inside",5000,"water",4.33
"CA0310001","inside",6000,"water",4.33
"CA0310001","inside",7000,"water",4.33
"CA0310001","inside",8000,"water",4.33
"CA0310001","inside",9000,"water",4.33
"CA0310001","inside",10000,"water",4.33
"CA0310001","inside",11000,"water",4.33
"CA0310001","inside",12000,"water",4.33
"CA0310001","inside",13000,"water",4.33
"CA0310001","inside",14000,"water",4.33
"CA0310001","inside",15000,"water",4.33
"CA0310001","inside",16000,"water",4.33
"CA0310002","inside",0,"sewer",0
"CA0310002","inside",1000,"sewer",0
"CA0310002","inside",2000,"sewer",0
"CA0310002","inside",3000,"sewer",0
"CA0310002","inside",4000,"sewer",0
"CA0310002","inside",5000,"sewer",0
"CA0310002","inside",6000,"sewer",0
"CA0310002","inside",7000,"sewer",0
"CA0310002","inside",8000,"sewer",0
"CA0310002","inside",9000,"sewer",0
"CA0310002","inside",10000,"sewer",0
"CA0310002","inside",11000,"sewer",0
"CA0310002","inside",12000,"sewer",0
"CA0310002","inside",13000,"sewer",0
"CA0310002","inside",14000,"sewer",0
"CA0310002","inside",15000,"sewer",0
"CA0310002","inside",16000,"sewer",0
"CA0310002","inside",0,"water",0
"CA0310002","inside",1000,"water",3.26
"CA0310002","inside",2000,"water",3.26
"CA0310002","inside",3000,"water",3.26
"CA0310002","inside",4000,"water",3.26
"CA0310002","inside",5000,"water",3.26
"CA0310002","inside",6000,"water",3.26
"CA0310002","inside",7000,"water",3.26
"CA0310002","inside",8000,"water",3.26
"CA0310002","inside",9000,"water",3.26
"CA0310002","inside",10000,"water",3.26
"CA0310002","inside",11000,"water",3.26
"CA0310002","inside",12000,"water",3.26
"CA0310002","inside",13000,"water",3.26
"CA0310002","inside",14000,"water",3.26
"CA0310002","inside",15000,"water",3.26
"CA0310002","inside",16000,"water",3.26
"CA0310003","inside",0,"sewer",0
"CA0310003","inside",1000,"sewer",0
"CA0310003","inside",2000,"sewer",0
"CA0310003","inside",3000,"sewer",0
"CA0310003","inside",4000,"sewer",0
"CA0310003","inside",5000,"sewer",0
"CA0310003","inside",6000,"sewer",0
"CA0310003","inside",7000,"sewer",0
"CA0310003","inside",8000,"sewer",0
"CA0310003","inside",9000,"sewer",0
"CA0310003","inside",10000,"sewer",0
"CA0310003","inside",11000,"sewer",0
"CA0310003","inside",12000,"sewer",0
"CA0310003","inside",13000,"sewer",0
"CA0310003","inside",14000,"sewer",0
"CA0310003","inside",15000,"sewer",0
"CA0310003","inside",16000,"sewer",0
"CA0310003","inside",0,"water",0
"CA0310003","inside",1000,"water",3.26
"CA0310003","inside",2000,"water",3.26
"CA0310003","inside",3000,"water",3.26
"CA0310003","inside",4000,"water",3.26
"CA0310003","inside",5000,"water",3.26
"CA0310003","inside",6000,"water",3.26
"CA0310003","inside",7000,"water",3.26
"CA0310003","inside",8000,"water",3.26
"CA0310003","inside",9000,"water",3.26
"CA0310003","inside",10000,"water",3.26
"CA0310003","inside",11000,"water",3.26
"CA0310003","inside",12000,"water",3.26
"CA0310003","inside",13000,"water",3.26
"CA0310003","inside",14000,"water",3.26
"CA0310003","inside",15000,"water",3.26
"CA0310003","inside",16000,"water",3.26
"CA0310005","inside",0,"sewer",0
"CA0310005","inside",1000,"sewer",0
"CA0310005","inside",2000,"sewer",0
"CA0310005","inside",3000,"sewer",0
"CA0310005","inside",4000,"sewer",0
"CA0310005","inside",5000,"sewer",0
"CA0310005","inside",6000,"sewer",0
"CA0310005","inside",7000,"sewer",0
"CA0310005","inside",8000,"sewer",0
"CA0310005","inside",9000,"sewer",0
"CA0310005","inside",10000,"sewer",0
"CA0310005","inside",11000,"sewer",0
"CA0310005","inside",12000,"sewer",0
"CA0310005","inside",13000,"sewer",0
"CA0310005","inside",14000,"sewer",0
"CA0310005","inside",15000,"sewer",0
"CA0310005","inside",16000,"sewer",0
"CA0310005","inside",0,"water",0
"CA0310005","inside",1000,"water",0
"CA0310005","inside",2000,"water",0.34
"CA0310005","inside",3000,"water",2.01
"CA0310005","inside",4000,"water",2.88
"CA0310005","inside",5000,"water",3.51
"CA0310005","inside",6000,"water",3.93
"CA0310005","inside",7000,"water",4.22
"CA0310005","inside",8000,"water",4.5
"CA0310005","inside",9000,"water",4.75
"CA0310005","inside",10000,"water",4.96
"CA0310005","inside",11000,"water",5.13
"CA0310005","inside",12000,"water",5.27
"CA0310005","inside",13000,"water",5.39
"CA0310005","inside",14000,"water",5.49
"CA0310005","inside",15000,"water",5.58
"CA0310005","inside",16000,"water",5.66
"CA0310006","inside",0,"sewer",0
"CA0310006","inside",1000,"sewer",0
"CA0310006","inside",2000,"sewer",0
"CA0310006","inside",3000,"sewer",0
"CA0310006","inside",4000,"sewer",0
"CA0310006","inside",5000,"sewer",0
"CA0310006","inside",6000,"sewer",0
"CA0310006","inside",7000,"sewer",0
"CA0310006","inside",8000,"sewer",0
"CA0310006","inside",9000,"sewer",0
"CA0310006","inside",10000,"sewer",0
"CA0310006","inside",11000,"sewer",0
"CA0310006","inside",12000,"sewer",0
"CA0310006","inside",13000,"sewer",0
"CA0310006","inside",14000,"sewer",0
"CA0310006","inside",15000,"sewer",0
"CA0310006","inside",16000,"sewer",0
"CA0310006","inside",0,"water",0
"CA0310006","inside",1000,"water",3
"CA0310006","inside",2000,"water",3
"CA0310006","inside",3000,"water",3
"CA0310006","inside",4000,"water",3.25
"CA0310006","inside",5000,"water",3.4
"CA0310006","inside",6000,"water",3.71
"CA0310006","inside",7000,"water",3.93
"CA0310006","inside",8000,"water",4.25
"CA0310006","inside",9000,"water",4.5
"CA0310006","inside",10000,"water",4.82
"CA0310006","inside",11000,"water",5.09
"CA0310006","inside",12000,"water",5.31
"CA0310006","inside",13000,"water",5.59
"CA0310006","inside",14000,"water",5.84
"CA0310006","inside",15000,"water",6.05
"CA0310006","inside",16000,"water",6.31
"CA0310012","inside",0,"sewer",0
"CA0310012","inside",1000,"sewer",0
"CA0310012","inside",2000,"sewer",0
"CA0310012","inside",3000,"sewer",0
"CA0310012","inside",4000,"sewer",0
"CA0310012","inside",5000,"sewer",0
"CA0310012","inside",6000,"sewer",0
"CA0310012","inside",7000,"sewer",0
"CA0310012","inside",8000,"sewer",0
"CA0310012","inside",9000,"sewer",0
"CA0310012","inside",10000,"sewer",0
"CA0310012","inside",11000,"sewer",0
"CA0310012","inside",12000,"sewer",0
"CA0310012","inside",13000,"sewer",0
"CA0310012","inside",14000,"sewer",0
"CA0310012","inside",15000,"sewer",0
"CA0310012","inside",16000,"sewer",0
"CA0310012","inside",0,"water",0
"CA0310012","inside",1000,"water",3.26
"CA0310012","inside",2000,"water",3.26
"CA0310012","inside",3000,"water",3.26
"CA0310012","inside",4000,"water",3.26
"CA0310012","inside",5000,"water",3.26
"CA0310012","inside",6000,"water",3.26
"CA0310012","inside",7000,"water",3.26
"CA0310012","inside",8000,"water",3.26
"CA0310012","inside",9000,"water",3.26
"CA0310012","inside",10000,"water",3.26
"CA0310012","inside",11000,"water",3.26
"CA0310012","inside",12000,"water",3.26
"CA0310012","inside",13000,"water",3.26
"CA0310012","inside",14000,"water",3.26
"CA0310012","inside",15000,"water",3.26
"CA0310012","inside",16000,"water",3.26
"CA0310019","inside",0,"sewer",0
"CA0310019","inside",1000,"sewer",0
"CA0310019","inside",2000,"sewer",0
"CA0310019","inside",3000,"sewer",0
"CA0310019","inside",4000,"sewer",0
"CA0310019","inside",5000,"sewer",0
"CA0310019","inside",6000,"sewer",0
"CA0310019","inside",7000,"sewer",0
"CA0310019","inside",8000,"sewer",0
"CA0310019","inside",9000,"sewer",0
"CA0310019","inside",10000,"sewer",0
"CA0310019","inside",11000,"sewer",0
"CA0310019","inside",12000,"sewer",0
"CA0310019","inside",13000,"sewer",0
"CA0310019","inside",14000,"sewer",0
"CA0310019","inside",15000,"sewer",0
"CA0310019","inside",16000,"sewer",0
"CA0310019","inside",0,"water",0
"CA0310019","inside",1000,"water",3.26
"CA0310019","inside",2000,"water",3.26
"CA0310019","inside",3000,"water",3.26
"CA0310019","inside",4000,"water",3.26
"CA0310019","inside",5000,"water",3.26
"CA0310019","inside",6000,"water",3.26
"CA0310019","inside",7000,"water",3.26
"CA0310019","inside",8000,"water",3.26
"CA0310019","inside",9000,"water",3.26
"CA0310019","inside",10000,"water",3.26
"CA0310019","inside",11000,"water",3.26
"CA0310019","inside",12000,"water",3.26
"CA0310019","inside",13000,"water",3.26
"CA0310019","inside",14000,"water",3.26
"CA0310019","inside",15000,"water",3.26
"CA0310019","inside",16000,"water",3.26
"CA0310021","inside",0,"sewer",0
"CA0310021","inside",1000,"sewer",0
"CA0310021","inside",2000,"sewer",0
"CA0310021","inside",3000,"sewer",0
"CA0310021","inside",4000,"sewer",0
"CA0310021","inside",5000,"sewer",0
"CA0310021","inside",6000,"sewer",0
"CA0310021","inside",7000,"sewer",0
"CA0310021","inside",8000,"sewer",0
"CA0310021","inside",9000,"sewer",0
"CA0310021","inside",10000,"sewer",0
"CA0310021","inside",11000,"sewer",0
"CA0310021","inside",12000,"sewer",0
"CA0310021","inside",13000,"sewer",0
"CA0310021","inside",14000,"sewer",0
"CA0310021","inside",15000,"sewer",0
"CA0310021","inside",16000,"sewer",0
"CA0310021","inside",0,"water",0
"CA0310021","inside",1000,"water",3.26
"CA0310021","inside",2000,"water",3.26
"CA0310021","inside",3000,"water",3.26
"CA0310021","inside",4000,"water",3.26
"CA0310021","inside",5000,"water",3.26
"CA0310021","inside",6000,"water",3.26
"CA0310021","inside",7000,"water",3.26
"CA0310021","inside",8000,"water",3.26
"CA0310021","inside",9000,"water",3.26
"CA0310021","inside",10000,"water",3.26
"CA0310021","inside",11000,"water",3.26
"CA0310021","inside",12000,"water",3.26
"CA0310021","inside",13000,"water",3.26
"CA0310021","inside",14000,"water",3.26
"CA0310021","inside",15000,"water",3.26
"CA0310021","inside",16000,"water",3.26
"CA0405001","inside",0,"sewer",0
"CA0405001","inside",1000,"sewer",0
"CA0405001","inside",2000,"sewer",0
"CA0405001","inside",3000,"sewer",0
"CA0405001","inside",4000,"sewer",0
"CA0405001","inside",5000,"sewer",0
"CA0405001","inside",6000,"sewer",0
"CA0405001","inside",7000,"sewer",0
"CA0405001","inside",8000,"sewer",0
"CA0405001","inside",9000,"sewer",0
"CA0405001","inside",10000,"sewer",0
"CA0405001","inside",11000,"sewer",0
"CA0405001","inside",12000,"sewer",0
"CA0405001","inside",13000,"sewer",0
"CA0405001","inside",14000,"sewer",0
"CA0405001","inside",15000,"sewer",0
"CA0405001","inside",16000,"sewer",0
"CA0405001","inside",0,"water",0
"CA0405001","inside",1000,"water",3.14
