"pwsid","service_area","city_name","utility_name","date","year","service","website","last_updated","order"
"CA0410005","Calfornia Water Service Company - Oroville","Oroville City","Calfornia Water Service Company - Oroville",2021-01-01,"2021","drinking water","https://www.calwater.com/docs/rates/rates_tariffs/oro/20210101-Residential_Metered_Service_ORO.pdf",2021,1
"CA0410005","Calfornia Water Service Company - Oroville","Oroville City","Oroville City",2021-01-01,"2021","wastewater","https://www.cityoforoville.org/services/public-works-department/engineering-division/engineering-fees",2021,2
"CA0410007","Paradise Irrigation District","Paradise Irrigation District","Paradise Irrigation District",2019-01-01,"2019","drinking water","https://www.pidwater.com/rates",2021,1
"CA0410007","Paradise Irrigation District","Paradise Irrigation District","Homeowners",2021-01-01,"2021","septic/on-site","not found",2021,3
"CA0410009","Del Oro Water Company","Magalia District","Del Oro Water Company",2021-01-01,"2021","drinking water","http://www.delorowater.com/deloro/water-districts/magalia-district.html",2021,1
"CA0410009","Del Oro Water Company","Magalia District","Homeowners",2021-01-01,"2021","septic/on-site",NA,2021,3
"CA0410011","Del Oro Water Company - Paradise Pines","Paradise Pines","Del Oro Water Company - Paradise Pines",2021-01-01,"2021","drinking water","http://www.delorowater.com/deloro/water-districts/paradise-pines.html",2021,1
"CA0410011","Del Oro Water Company - Paradise Pines","Paradise Pines","Homeowners",2021-01-01,"2021","septic/on-site",NA,2021,3
"CA0510001","Union PUD","Union PUD","Union PUD",2018-11-01,"2018","drinking water","https://www.upudwater.com/wp-content/uploads/2019/09/UPUD-Rate-Schedule-11-1-2014-Rev-7-UWPA-Rate-7-1-2018.pdf",2021,1
"CA0510001","Union PUD","Union PUD","Calaveras County Water District",2020-07-16,"2020","wastewater","https://ccwd.org/customer-service/rates/",2021,2
"CA0510002","Calaveras Public Utility District","Mokelumne Hill","Calaveras Public Utility District",2020-07-01,"2020","drinking water","https://www.cpud.org/rates-and-fees",2021,1
"CA0510002","Calaveras Public Utility District","San Andreas","Calaveras Public Utility District",2020-07-01,"2020","drinking water","https://www.cpud.org/rates-and-fees",2021,1
"CA0510002","Calaveras Public Utility District","Mokelumne Hill","Mokelumne Hill Sanitary District",2020-07-01,"2020","wastewater","https://www.cpud.org/mokelumne-hill-sanitary-district-info",2021,2
"CA0510002","Calaveras Public Utility District","San Andreas","San Andreas Sanitary District",2020-07-01,"2020","wastewater","http://sasanitary.org/our-community/sasd-areas-served/",2021,2
"CA0510003","Angels City","Angels Camp","Angels City",2020-07-01,"2020","drinking water","http://angelscamp.gov/water/",2021,1
"CA0510003","Angels City","Angels Camp","Angels City",2020-07-01,"2020","wastewater","http://angelscamp.gov/water/",2021,2
"CA0510004","Calaveras County Water District","Calaveras County Water District","Calaveras County Water District",2020-07-16,"2020","drinking water","https://ccwd.org/customer-service/rates/",2020,1
"CA0510004","Calaveras County Water District","Calaveras County Water District","Calaveras County Water District",2020-07-16,"2020","wastewater","https://ccwd.org/customer-service/rates/",2020,2
"CA0510006","Calaveras County Water District - Jenny Lind","Calaveras County Water District - Jenny Lind","Calaveras County Water District - Jenny Lind",2021-07-16,"2021","drinking water","https://ccwd.org/customer-service/rate-calculator/",2021,1
"CA0510006","Calaveras County Water District - Jenny Lind","Calaveras County Water District - Jenny Lind","Calaveras County Water District - Jenny Lind",2021-07-16,"2021","wastewater","https://ccwd.org/customer-service/rate-calculator/",2021,2
"CA0510010","Valley Springs Public Utility District","Valley Springs","Valley Springs Public Utility District",2020-01-01,"2020","drinking water","http://www.vspud.com/ratesandfees.html",2021,1
"CA0510010","Valley Springs Public Utility District","Valley Springs","Valley Springs Public Utility District",2020-01-01,"2020","wastewater","http://www.vspud.com/ratesandfees.html",2021,2
"CA0510016","Calaveras County Water District - Ebbetts Pass","Ebbetts Pass","Calaveras County Water District - Ebbetts Pass",2021-07-16,"2021","drinking water","https://ccwd.org/customer-service/rates/",2021,1
"CA0510016","Calaveras County Water District - Ebbetts Pass","Ebbetts Pass","Calaveras County Water District - Ebbetts Pass",2021-07-16,"2021","wastewater","https://ccwd.org/customer-service/rates/",2021,2
"CA0510017","Calaveras County Water District - Copper Cove","Calaveras County Water District - Copper Cove","Calaveras County Water District - Copper Cove",2021-07-16,"2021","drinking water","https://ccwd.org/customer-service/rate-calculator/",2021,1
"CA0510017","Calaveras County Water District - Copper Cove","Calaveras County Water District - Copper Cove","Calaveras County Water District - Copper Cove",2021-07-16,"2021","wastewater","https://ccwd.org/customer-service/rate-calculator/",2021,2
"CA0610003","Maxwell PUD","Maxwell PUD","Maxwell PUD",2020-01-01,"2020","drinking water","https://www.maxwellpud.myruralwater.com/current-rates",2021,1
"CA0610003","Maxwell PUD","Maxwell PUD","Maxwell PUD",2020-01-01,"2020","wastewater","https://www.maxwellpud.myruralwater.com/current-rates",2021,2
"CA0610004","Williams City","Williams City","Williams City",2019-12-01,"2019","drinking water","https://www.cityofwilliams.org/departments/utilities/index.php",2021,1
"CA0610004","Williams City","Williams City","Williams City",2019-12-01,"2019","wastewater","https://www.cityofwilliams.org/departments/utilities/index.php",2021,2
"CA0710001","Antioch City","Antioch City","Antioch City",2019-07-01,"2019","drinking water","https://www.antiochca.gov/finance-department/water/",2020,1
"CA0710001","Antioch City","Antioch City","Antioch City",2019-07-01,"2019","wastewater","https://www.antiochca.gov/finance-department/water/",2020,2
"CA0710002","Golden State Water Company - Bay Point","Bay Point","Golden State Water Company - Bay Point",2021-01-01,"2021","drinking water","https://www.gswater.com/sites/main/files/file-attachments/by-1-rjan.pdf?1618261187",2021,1
"CA0710002","Golden State Water Company - Bay Point","Bay Point","Delta Diablo",2021-07-01,"2021","wastewater","https://www.deltadiablo.org/files/a702279c1/Delta+Diablo+FY21-22+Sewer+Service+Charges+Prop.+218+Notice.pdf",2021,2
"CA0710003","Contra Costa Water District","Contra Costa Water District","Contra Costa Water District",2020-01-01,"2020","drinking water","https://www.ccwater.com/721/Current-Rates",2020,1
"CA0710003","Contra Costa Water District","Contra Costa Water District","Concord City",2020-01-01,"2020","wastewater","http://cityofconcord.org/CivicAlerts.aspx?AID=244",2020,2
"CA0710003","Contra Costa Water District","Contra Costa Water District","Contra Costa Sanitary District",2020-01-01,"2020","wastewater","https://www.centralsan.org/sewer-system",2020,2
"CA0710003","Contra Costa Water District","Contra Costa Water District","Delta Diablo",2020-01-01,"2020","wastewater","https://www.deltadiablo.org/sewer-service-charges",2020,2
"CA0710003","Contra Costa Water District","Contra Costa Water District","Ironhouse Sanitary District",2020-08-01,"2020","wastewater","https://www.ironhousesanitarydistrict.com/170/Rates-Service-Charges",2020,2
"CA0710004","Brentwood City","Brentwood City","Brentwood City",2019-07-01,"2019","drinking water","https://www.brentwoodca.gov/gov/pw/fees/garbage.asp",2020,1
"CA0710004","Brentwood City","Brentwood City","Brentwood City",2019-07-01,"2019","wastewater","https://www.brentwoodca.gov/gov/pw/fees/garbage.asp",2020,2
"CA0710006","Martinez City","Martinez City","Martinez City",2021-01-01,"2021","drinking water","https://www.cityofmartinez.org/civicax/filebank/blobdload.aspx?BlobID=12756",2021,1
"CA0710006","Martinez City","Martinez City","Central Contra Costa Sanitary District",2020-07-01,"2020","wastewater","https://www.centralsan.org/rates-fees",2021,2
"CA0710006","Martinez City","Martinez City","Central Contral Costa Sanitary District",2019-07-01,"2019","wastewater","https://www.centralsan.org/rates-fees",2021,2
"CA0710006","Martinez City","Martinez City","Mt. View Sanitary District",2016-01-01,"2016","wastewater","https://mvsd.org/residents-and-businesses/rates-fees/",2021,2
"CA0710006","Martinez City","Martinez City","Stonehurst Sanitary District No. 6",2008-04-09,"2008","wastewater","https://www.contracostalafco.org/municipal_service_reviews/central_county_water_wastewater/6.0%20County%20San%20Dist%206%20Water%20Wastewater%20Final.pdf",2021,2
"CA0710007","Diablo Water District","Oakley City","Diablo Water District",2020-01-01,"2020","drinking water","http://diablowater.org/customer-info/rates-and-bills/",2021,1
"CA0710007","Diablo Water District","Oakley City","Iron House Sanitary District",2020-07-01,"2020","wastewater","https://www.ironhousesanitarydistrict.com/170/Rates-Service-Charges",2021,2
"CA0710007","Diablo Water District","Oakley City","Contra Costa County Flood Control and Water Conservation District",2005-07-01,"2005","stormwater","https://www.ci.oakley.ca.us/wp-content/uploads/2017/03/text3.5.pdf",2021,4
"CA0710009","Discovery Bay Town","Discovery Bay Town","Discovery Bay Town",2021-01-01,"2021","drinking water","https://www.todb.ca.gov/sites/main/files/file-attachments/2020_adopted_water_and_wastewater_rates_0.pdf?1591998726",2021,1
"CA0710009","Discovery Bay Town","Discovery Bay Town","Discovery Bay Town",2021-01-01,"2021","wastewater","https://www.todb.ca.gov/sites/main/files/file-attachments/2020_adopted_water_and_wastewater_rates_0.pdf?1591998726",2021,2
"CA0810001","Crescent City","Crescent City","Crescent City",2021-01-01,"2021","drinking water","https://www.crescentcity.org/departments/WaterandSewer/WaterServiceAreasandFees",2021,1
"CA0810001","Crescent City","Crescent City","Crescent City",2021-01-01,"2021","wastewater","https://www.crescentcity.org/departments/WaterandSewer/WaterServiceAreasandFees",2021,2
"CA0910002","South Tahoe PUD - main","South Tahoe PUD - main","South Tahoe PUD - main",2021-01-01,"2021","drinking water","https://stpud.us/customers/rates-water-and-sewer/",2021,1
"CA0910002","South Tahoe PUD - main","South Tahoe PUD - main","South Tahoe PUD - main",2021-01-01,"2021","wastewater","https://stpud.us/customers/rates-water-and-sewer/",2021,2
"CA0910003","Placerville City","Placerville City","Placerville City",2021-06-16,"2021","drinking water","https://evogov.s3.amazonaws.com/media/17/media/148749.pdf",2021,1
"CA0910003","Placerville City","Placerville City","Placerville City",2021-06-16,"2021","wastewater","https://evogov.s3.amazonaws.com/media/17/media/148750.pdf",2021,2
"CA0910006","Grizzly Flats CSD","Grizzly Flats CSD","Grizzly Flats CSD",2020-07-01,"2020","drinking water","https://grizzlyflatscsd.com/?page_id=12",2021,1
"CA0910006","Grizzly Flats CSD","Grizzly Flats CSD","Grizzly Flats CSD",2020-07-01,"2020","septic/on-site","not found",2021,3
"CA0910013","Georgetown Divide Public Utility District","Georgetown Divide Public Utility District","Georgetown Divide Public Utility District",2021-01-01,"2021","drinking water","https://www.gd-pud.org/rates",2021,1
"CA0910013","Georgetown Divide Public Utility District","Georgetown Divide Public Utility District","Georgetown Divide Public Utility District",2021-01-01,"2021","wastewater","https://www.gd-pud.org/rates",2021,2
"CA1010001","Bakman Water Company","Fresno City","Bakman Water Company",2020-03-27,"2020","drinking water","https://www.bakmanwater.com/southeast-fresno",2020,1
"CA1010001","Bakman Water Company","Fresno City","Fresno City",2020-01-01,"2020","wastewater","https://www.fresno.gov/publicutilities/utility-billing-payment-fees/",2020,2
"CA1010001","Bakman Water Company","Fresno City","Fresno City",2020-01-01,"2020","stormwater","http://www.fresnofloodcontrol.org/wp-content/uploads/2020/06/2020-2021-Budget-Annual-16-2020-hearing.pdf",2020,4
"CA1010003","Clovis City","Clovis City","Clovis City",2020-07-01,"2020","drinking water","https://cityofclovis.com/finance/utility-billing/rates-and-fees/",2020,1
"CA1010003","Clovis City","Clovis City","Clovis City",2020-07-01,"2020","wastewater","https://cityofclovis.com/finance/utility-billing/rates-and-fees/",2020,2
"CA1010004","Coalinga City","Coalinga City","Coalinga City",2020-11-01,"2020","drinking water","https://www.coalinga.com/DocumentCenter/View/1016/Rate-Table-Water--Updated-1112020PDF?bidId=",2021,1
"CA1010004","Coalinga City","Coalinga City","Coalinga City",2020-11-01,"2020","wastewater","https://www.coalinga.com/DocumentCenter/View/1017/Rate-Table-Sewer---Updated-1112020PDF?bidId=",2021,2
"CA1010005","Firebaugh City","Firebaugh City","Firebaugh City",2018-07-01,"2018","drinking water","https://firebaugh.org/wp-content/uploads/2019/03/4-FINAL_Firebaugh-W-WW-Rate-Study-Report-03.04.19.pdf",2021,1
"CA1010005","Firebaugh City","Firebaugh City","Firebaugh City",2018-07-01,"2018","wastewater","https://firebaugh.org/wp-content/uploads/2019/03/4-FINAL_Firebaugh-W-WW-Rate-Study-Report-03.04.19.pdf",2021,2
"CA1010007","Fresno City","Fresno City","Fresno City",2018-07-01,"2018","drinking water","http://www.rechargefresno.com/waterrates/",2020,1
"CA1010007","Fresno City","Fresno City","Fresno City",2018-07-01,"2018","wastewater","https://www.fresno.gov/publicutilities/utility-billing-payment-fees/",2020,2
"CA1010018","Kerman City","Kerman City","Kerman City",2021-01-01,"2021","drinking water","https://cityofkerman.net/wp-content/uploads/2020/09/Utility-Rates-20-21.pdf",2021,1
"CA1010018","Kerman City","Kerman City","Kerman City",2021-01-01,"2021","wastewater","https://cityofkerman.net/wp-content/uploads/2020/09/Utility-Rates-20-21.pdf",2021,2
"CA1010018","Kerman City","Kerman City","Kerman City",2020-07-01,"2020","stormwater","https://cityofkerman.net/wp-content/uploads/2020/09/Utility-Rates-20-21.pdf",2021,4
"CA1010019","Kingsburg City","Kingsburg City","Kingsburg City",2017-04-01,"2017","drinking water","http://ca-kingsburg.civicplus.com/DocumentCenter/View/245/Tiered-Usage-Table-PDF?bidId=",2021,1
"CA1010019","Kingsburg City","Kingsburg City","Selma-Kingsburg-Fowler County Sanitation District",2020-03-01,"2020","wastewater","http://www.skfcsd.org/wp-content/uploads/2020/04/rate-and-fee-schedule-03-17-2020.pdf",2021,2
"CA1010029","Sanger City","Sanger City","Sanger City",2007-07-01,"2007","drinking water","https://www.ci.sanger.ca.us/DocumentCenter/View/229/Water-Rates-PDF?bidId=",2021,1
"CA1010029","Sanger City","Sanger City","Sanger City",2007-05-03,"2007","wastewater","https://www.ci.sanger.ca.us/DocumentCenter/View/228/Sewer-Rates-PDF?bidId=",2021,2
"CA1010035","Del Rey CSD","Del Rey CSD","Del Rey CSD",2021-01-01,"2021","drinking water","https://www.delreycsd.com/rates-and-policies",2021,1
"CA1010035","Del Rey CSD","Del Rey CSD","Del Rey CSD",2021-01-01,"2021","wastewater","https://www.delreycsd.com/rates-and-policies",2021,2
"CA1010042","Magalia County Water District","Magalia County Water District","Magalia County Water District",2017-09-01,"2017","drinking water","https://www.malagacwd.org/files/e6b600c86/MCWD+Master+Fee+Schedule.pdf",2021,1
"CA1010042","Magalia County Water District","Magalia County Water District","Magalia County Water District",2017-09-01,"2017","wastewater","https://www.malagacwd.org/rate-increase-effective-1-september-2017",2021,2
"CA1010044","Huron City","Huron City","Huron City",2020-01-01,"2020","drinking water","http://cityofhuron.com/public-utilities/#1527743216051-0f36a490-725c",2021,1
"CA1010044","Huron City","Huron City","Huron City",2020-01-01,"2020","wastewater","http://cityofhuron.com/public-utilities/#1527743216051-0f36a490-725c",2021,2
"CA1010049","Biola CSD","Biola CSD","Biola CSD",2017-07-01,"2017","drinking water","https://www.biolacsd.org/bcsd-rates",2021,1
"CA1010049","Biola CSD","Biola CSD","Biola CSD",2017-07-01,"2017","wastewater","https://www.biolacsd.org/bcsd-rates",2021,2
"CA1100404","Del Oro Water Company - Black Butte","Estates Subdivision Unit No. 1","Del Oro Water Company - Black Butte",2021-01-01,"2021","drinking water","http://www.delorowater.com/deloro/water-districts/black-butte.html",2021,1
"CA1100404","Del Oro Water Company - Black Butte","Estates Subdivision Unit No. 1","Homeowners",2021-01-01,"2021","septic/on-site","not found",2021,3
"CA1110001","Orland City","Orland City","Orland City",2021-01-01,"2021","drinking water","http://cityoforland.com/govt/dept/public_works/#:~:text=When%20water%20usage%20exceeds%2015%2C000,is%20%24115.80%20every%20two%20months.",2021,1
"CA1110001","Orland City","Orland City","Orland City",2021-01-01,"2021","wastewater","http://cityoforland.com/govt/dept/public_works/#:~:text=When%20water%20usage%20exceeds%2015%2C000,is%20%24115.80%20every%20two%20months.",2021,2
"CA1110003","California Water Service Company - Willows","Willows City","California Water Service Company - Willows",2021-02-01,"2021","drinking water","https://www.calwater.com/district-information/?dist=wil",2021,1
"CA1110003","California Water Service Company - Willows","Willows City","Willows City",2021-07-01,"2021","wastewater","https://www.cityofwillows.org/assets/resources/Sewer-Rate-Study-and-Public-Meeting-Announcement-Amended.pdf",2021,2
"CA1210001","Arcata City","Arcata City","Arcata City",2020-09-01,"2020","drinking water","https://www.cityofarcata.org/DocumentCenter/View/9686/Utility-Rate-Adjustment-Notice-2020_2025?bidId=",2020,1
"CA1210001","Arcata City","Arcata City","Arcata City",2020-09-01,"2020","wastewater","https://www.cityofarcata.org/DocumentCenter/View/9686/Utility-Rate-Adjustment-Notice-2020_2025?bidId=",2020,2
"CA1210002","Blue Lake City","Blue Lake City","Blue Lake City",2015-07-01,"2015","drinking water","https://qcode.us/codes/bluelake/view.php?cite=section_13.08.195&confidence=6",2021,1
"CA1210002","Blue Lake City","Blue Lake City","Blue Lake City",2016-03-01,"2016","wastewater","https://qcode.us/codes/bluelake/view.php?topic=13-13_16-13_16_110&frames=on",2021,2
"CA1210004","Eureka City","Eureka City","Eureka City",2021-07-01,"2021","drinking water","http://new.ci.eureka.ca.gov/civicax/filebank/blobdload.aspx?BlobID=13180",2021,1
"CA1210004","Eureka City","Eureka City","Eureka City",2021-07-01,"2021","wastewater","http://new.ci.eureka.ca.gov/civicax/filebank/blobdload.aspx?BlobID=13179",2021,2
"CA1210006","Fortuna City","Fortuna City","Fortuna City",2021-01-01,"2021","drinking water","https://www.friendlyfortuna.com/departments/finance/water_sewer_services/water_billing_info.php",2021,1
"CA1210006","Fortuna City","Fortuna City","Fortuna City",2021-01-01,"2021","wastewater","https://www.friendlyfortuna.com/departments/finance/water_sewer_services/water_billing_info.php",2021,2
"CA1210007","Del Oro Water Company","Ferndale City","Del Oro Water Company",2021-01-01,"2021","drinking water","http://www.delorowater.com/deloro/water-districts/ferndale.html",2021,1
"CA1210007","Del Oro Water Company","Ferndale City","Ferndale City",2008-07-01,"2008","wastewater","https://ci.ferndale.ca.us/documents/laws/",2021,2
"CA1210009","Humboldt Community Services District","Humboldt County","Humboldt Community Services District",2020-07-01,"2020","drinking water","https://humboldtcsd.org/customer-service",2021,1
"CA1210009","Humboldt Community Services District","Humboldt County","Humboldt Community Services District",2020-07-01,"2020","wastewater","https://humboldtcsd.org/customer-service",2021,2
"CA1210010","Scotia CSD","Scotia CSD","Scotia CSD",2020-07-01,"2020","drinking water","http://scotiacsd.com/rate-setting/",2021,1
"CA1210010","Scotia CSD","Scotia CSD","Scotia CSD",2020-07-01,"2020","wastewater","http://scotiacsd.com/rate-setting/",2021,2
"CA1210010","Scotia CSD","Scotia CSD","Scotia CSD",2020-07-01,"2020","stormwater","http://scotiacsd.com/rate-setting/",2021,4
"CA1210011","Redway CSD","Redway CSD","Redway CSD",2021-01-01,"2021","drinking water","https://redwaycsd.org/rates-and-policies",2021,1
"CA1210011","Redway CSD","Redway CSD","Redway CSD",2021-01-01,"2021","wastewater","https://redwaycsd.org/rates-and-policies",2021,2
"CA1210015","Willow Creek Community Services District","Willow Creek Community Services District","Willow Creek Community Services District",2013-02-01,"2013","drinking water","https://www.willowcreekcsd.com/water-services/",2021,1
"CA1210015","Willow Creek Community Services District","Willow Creek Community Services District","Homeowners",2013-02-01,"2013","septic/on-site",NA,2021,3
"CA1210016","McKinleyville Community Services District","McKinleyville","McKinleyville Community Services District",2020-07-01,"2020","drinking water","https://www.mckinleyvillecsd.com/water-department",2021,1
"CA1210016","McKinleyville Community Services District","McKinleyville","McKinleyville Community Services District",2020-07-01,"2020","wastewater","https://www.mckinleyvillecsd.com/sewer-department",2021,2
"CA1210017","Manila CSD","Manila CSD","Manila CSD",2021-01-01,"2021","drinking water","http://manilacsd.com/page4.html",2021,1
"CA1210017","Manila CSD","Manila CSD","Manila CSD",2021-01-01,"2021","wastewater","http://manilacsd.com/page4.html",2021,2
