"PWSID","PWS_NAME","NPM_CANDIDATE","PRIMACY_AGENCY_CODE","EPA_REGION","SEASON_BEGIN_DATE","SEASON_END_DATE","PWS_ACTIVITY_CODE","PWS_DEACTIVATION_DATE","PWS_TYPE_CODE","CDS_ID","GW_SW_CODE","OWNER_TYPE_CODE","POPULATION_SERVED_COUNT","PRIMACY_TYPE","PRIMARY_SOURCE_CODE","IS_GRANT_ELIGIBLE_IND","IS_WHOLESALER_IND","IS_SCHOOL_OR_DAYCARE_IND","SERVICE_CONNECTIONS_COUNT","SUBMISSION_STATUS_CODE","ORG_NAME","CITY_NAME","ZIP_CODE","COUNTRY_CODE","STATE_CODE","SOURCE_WATER_PROTECTION_CODE","SOURCE_PROTECTION_BEGIN_DATE","OUTSTANDING_PERFORMER","OUTSTANDING_PERFORM_BEGIN_DATE","CITIES_SERVED","COUNTIES_SERVED","PWSID_STATE"
"CA3910011","TRACY, CITY OF","Y","CA","9","","","A","","CWS","","SW","L","92000","State","SW","Y","N","N","24625","Y","SHARMA, KULDEEP","TRACY","95376","US","CA","","","","","TRACY","San Joaquin","ca"
"CA3610019","SAN BERNARDINO VALLEY WD","Y","CA","9","","","A","","CWS","","GW","L","0","State","GW","Y","Y","N","5","Y","HEADRICK, DOUGLAS","SAN BERNARDINO","92408","US","CA","","","","","Not Reported","San Bernardino","ca"
"CA4900639","REDWOOD HEIGHTS MUTUAL WATER COMPANY","Y","CA","9","","","A","","CWS","","GW","P","30","State","GW","Y","N","N","18","Y","MOSHER, THERESA","GUERNEVILLE","95446","US","CA","","","","","Not Reported","Sonoma","ca"
"CA1910144","SAN GABRIEL COUNTY WD","Y","CA","9","","","A","","CWS","","GW","L","45000","State","GW","Y","N","N","9250","Y","PRIOR, JAMES (JIM)","ROSEMEAD","91770","US","CA","","","","","Not Reported","Los Angeles","ca"
"CA3610703","USMC - 29 PALMS","Y","CA","9","","","A","","CWS","","GW","F","20456","State","GW","Y","N","N","2468","Y","ELLIOTT, CHRIS","29 PALMS","92278-8110","US","CA","","","","","Not Reported","San Bernardino","ca"
"CA3710042","SAN DIEGO COUNTY WATER AUTHORITY","Y","CA","9","","","A","","CWS","","SW","L","0","State","SW","Y","Y","N","97","Y","FISHER, JIM","ESCONDIDO","92025","US","CA","","","","","Not Reported","San Diego","ca"
"CA3610701","USMC NEBO (BARSTOW)","Y","CA","9","","","A","","CWS","","GW","F","1538","State","GWP","Y","N","N","419","Y","ULIBARRI, MARK","BARSTOW","92311-5050","US","CA","","","","","Not Reported","San Bernardino","ca"
"CA3310005","DESERT WATER AGENCY","Y","CA","9","","","A","","CWS","","SW","L","52440","State","SW","Y","N","N","22571","Y","KRAUSE, MARK","PALM SPRINGS","92263","US","CA","","","","","Not Reported","Riverside","ca"
"CA3301226","MWD - EAGLE MOUNTAIN","Y","CA","9","","","A","","CWS","","SW","P","14","State","SW","Y","N","N","24","Y","LIANG, SUN","LA VERNE","91750","US","CA","","","","","Not Reported","Riverside","ca"
"CA3600383","MWD OF SO CAL GENE PLANT","Y","CA","9","","","A","","CWS","","SW","P","107","State","SW","Y","N","N","61","Y","LIANG, SUN","LA VERNE","91750","US","CA","","","","","Not Reported","San Bernardino","ca"
"CA3600382","MWD OF SO CAL IRON MOUNTAIN","Y","CA","9","","","A","","CWS","","SW","L","27","State","SW","Y","N","N","38","Y","LIANG, SUN","LA VERNE","91750","US","CA","","","","","Not Reported","San Bernardino","ca"
"CA3301045","BLYTHE MOBILE HOME ESTATES","Y","CA","9","","","A","","CWS","","GW","P","35","State","GW","Y","N","N","24","Y","SCIBILIA, APRIL","VALLEY CENTER","92082","US","CA","","","","","Not Reported","Riverside","ca"
"CA3200509","CLIO PUBLIC UTILITY DISTRICT","Y","CA","9","","","A","","CWS","","GW","L","79","State","GW","Y","N","N","47","Y","LACY, JENNIFER","CLIO","96106","US","CA","","","","","Not Reported","Plumas","ca"
"CA3900831","ARBOR MOBILE HOME PARK WS","Y","CA","9","","","A","","CWS","","GW","P","340","State","GW","Y","N","N","173","Y","LTD, ACAMPO ARBOR","IRVINE","92714","US","CA","","","","","Not Reported","San Joaquin","ca"
"CA3710045","POSEIDON RESOURCES - CDP","Y","CA","9","","","A","","CWS","","SW","P","0","State","SW","Y","Y","N","1","Y","CHAWLA, SACHIN","CARLSBAD","92008","US","CA","","","","","Not Reported","San Diego","ca"
"CA1000369","ZONNEVELD DAIRY - CEDAR","Y","CA","9","","","A","","CWS","","GW","P","70","State","GW","Y","N","N","19","Y","ZONNEVELD, ANDREW","LATON","93242","US","CA","","","","","Not Reported","Fresno","ca"
"CA1000627","ZONNEVELD DAIRY - CERINI","Y","CA","9","","","A","","CWS","","GW","P","48","State","GW","Y","N","N","17","Y","ZONNEVELD, ANDREW","LATON","93242","US","CA","","","","","Not Reported","Fresno","ca"
"CA1410008","INYO COUNTY PWD - INDEPENDENCE","Y","CA","9","","","A","","CWS","","GW","L","669","State","GWP","Y","N","N","374","Y","PEARCE, KEITH","INDEPENDENCE","93526","US","CA","","","","","Not Reported","Inyo","ca"
"CA4410002","SLVWD - FELTON WATER SYSTEM","Y","CA","9","","","A","","CWS","","SW","P","4340","State","SW","Y","N","N","1355","Y","ROGERS, RICHARD","BOULDER CREEK","95006","US","CA","","","","","Not Reported","Santa Cruz","ca"
"CA4910017","WINDSOR, TOWN OF","Y","CA","9","","","A","","CWS","","GW","L","28209","State","GW","Y","N","N","8917","Y","CAVE, MICHAEL","WINDSOR","95492","US","CA","","","","","Not Reported","Sonoma","ca"
"CA4901355","TERRACE VIEW WATER SYSTEM","Y","CA","9","","","A","","CWS","","GW","P","60","State","GW","Y","N","N","18","Y","CLAMPITT, CARRA","ROHNERT PARK","94928","US","CA","","","","","Not Reported","Sonoma","ca"
"CA4900846","ROLLING OAKS ROAD ASSOCIATION","Y","CA","9","","","A","","CWS","","GW","P","25","State","GW","Y","N","N","16","Y","CLAMPITT, CARRA","ROHNERT PARK","94928","US","CA","","","","","Not Reported","Sonoma","ca"
"CA1009222","TERRA LINDA FARMS","Y","CA","9","","","A","","CWS","","SW","P","40","State","SW","Y","N","N","9","Y","COELHO, JOE","RIVERDALE","93656","US","CA","","","","","Not Reported","Fresno","ca"
"CA1400518","VAN LOON WATER ASSOCIATION","Y","CA","9","","","A","","CWS","","GW","P","30","State","GW","Y","N","N","15","Y","TJERNAGEL, KELLER","BISHOP","93514","US","CA","","","","","Not Reported","Inyo","ca"
"CA4810003","CITY OF FAIRFIELD","Y","CA","9","","","A","","CWS","","SW","L","112140","State","SW","Y","Y","N","30930","Y","RIESENBERG, FELIX","FAIRFIELD","94533-4836","US","CA","","","","","FAIRFIELD","Solano","ca"
"CA1610006","STRATFORD PUD","Y","CA","9","","","A","","CWS","","GW","L","1301","State","GW","Y","N","N","364","Y","GRANGER, KELLY","HANFORD","93230","US","CA","","","","","Not Reported","Kings","ca"
"CA4010830","CALIFORNIA MENS COLONY","Y","CA","9","","","A","","CWS","","SW","S","15000","State","SW","Y","N","N","5357","Y","BUFFALOE, SCOTT","SAN LUIS OBISPO","93409","US","CA","","","","","Not Reported","San Luis Obispo","ca"
"WI7500138","RECREACRES MHC LLC","Y","WI","5","","","A","","CWS","","GW","P","320","State","GW","Y","N","N","118","Y","RECREACRES JV LLC","LOS ANGELES","90012","US","CA","","","","","STEVENS POINT","Portage","wi"
"CA4200969","AAA KINDNESS CARE HOME","Y","CA","9","","","A","","CWS","","GW","P","30","State","GW","Y","N","N","2","Y","HUNT, CHARLES","SANTA MARIA","93454","US","CA","","","","","Not Reported","Santa Barbara","ca"
"CA5800828","COUNTRYSIDE MOBILE HOME PARK","Y","CA","9","","","A","","CWS","","GW","P","185","State","GW","Y","N","N","86","Y","CHAPEL, DUAYNE","MARYSVILLE","95901","US","CA","","","","","Not Reported","Yuba","ca"
"CA1009111","SCE/BIG CREEK POWERHOUSE #1","Y","CA","9","","","A","","CWS","","SW","P","126","State","SW","Y","N","N","76","Y","KIMBLER, JAY","BIG CREEK","93605","US","CA","","","","","Not Reported","Fresno","ca"
"CA4010012","HERITAGE RANCH CSD","Y","CA","9","","","A","","CWS","","SW","L","3428","State","SW","Y","N","N","1919","Y","DUFFIELD, SCOTT","PASO ROBLES","93446","US","CA","","","","","Not Reported","San Luis Obispo","ca"
"CA5610015","VENTURA CWWD NO. 19 - SOMIS","Y","CA","9","","","A","","CWS","","SW","L","3275","State","SWP","Y","N","N","931","Y","SMITH, ELIZABETH","MOORPARK","93020","US","CA","","","","","Not Reported","Ventura","ca"
"CA5610003","VENTURA CWWD NO. 17 - BELL CANYON","Y","CA","9","","","A","","CWS","","SW","L","2049","State","SWP","Y","N","N","703","Y","SMITH, ELIZABETH","MOORPARK","93020","US","CA","","","","","Not Reported","Ventura","ca"
"CA5610069","VENTURA CWWD NO. 38 - LAKE SHERWOOD","Y","CA","9","","","A","","CWS","","SW","L","1527","State","SWP","Y","N","N","771","Y","SMITH, ELIZABETH","MOORPARK","93020","US","CA","","","","","Not Reported","Ventura","ca"
"CA4010832","ATASCADERO STATE HOSPITAL","Y","CA","9","","","A","","CWS","","GW","S","4128","State","GW","Y","N","N","875","Y","DYE, RANDY","ATASCADERO","93423","US","CA","","","","","Not Reported","San Luis Obispo","ca"
"CA4010010","SAN MIGUEL COMMUNITY SERVICES DISTRICT","Y","CA","9","","","A","","CWS","","GW","L","2600","State","GW","Y","N","N","861","Y","ROBERSON, ROB","SAN MIGUEL","93451","US","CA","","","","","Not Reported","San Luis Obispo","ca"
"CA4210005","SAN VICENTE WATER COMPANY","Y","CA","9","","","A","","CWS","","GW","P","550","State","GW","Y","N","N","278","Y","PAREDES, ROSA","SANA BARBARA","93110","US","CA","","","","","Not Reported","Santa Barbara","ca"
"CA5710006","CITY OF WOODLAND","Y","CA","9","","","A","","CWS","","GW","L","60292","State","GW","Y","N","N","16149","Y","COHEN, MATT","WOODLAND","95695","US","CA","","","","","WOODLAND","Yolo","ca"
"CA2910013","WASHINGTON RIDGE C.C.","Y","CA","9","","","A","","CWS","","GW","S","100","State","GW","Y","N","N","1","Y","MATHIAS, JAMES","NEVADA CITY","95959","US","CA","","","","","Not Reported","Nevada","ca"
"CA3500823","BEST ROAD MWC","Y","CA","9","","","A","","CWS","","GW","P","133","State","GW","Y","N","N","48","Y","ROGERS, JULIAN","HOLLISTER","95023","US","CA","","","","","Not Reported","San Benito","ca"
"CA1010003","CITY OF CLOVIS","Y","CA","9","","","A","","CWS","","SW","L","114650","State","SW","Y","N","N","32571","Y","ARMENDARIZ, PAUL","CLOVIS","93611","US","CA","","","","","CLOVIS","Fresno","ca"
"CA1500443","CANYON MEADOWS MUTUAL WATER","Y","CA","9","","","A","","CWS","","GW","P","394","State","GW","Y","N","N","141","Y","ROSE, JOHN L.","BODFISH","93205","US","CA","","","","","Not Reported","Kern","ca"
"CA2000512","EAST ACRES MUTUAL WATER COMPANY","Y","CA","9","","","A","","CWS","","GW","P","250","State","GW","Y","N","N","81","Y","KREIGHBAUM, BRENT","FIREBAUGH","93622","US","CA","","","","","Not Reported","Madera","ca"
"CA5800820","RIVER HIGHLANDS CSD","Y","CA","9","","","A","","CWS","","GW","L","200","State","GW","Y","N","N","84","Y","BUNTON, SAM","MARYSVILLE","95901","US","CA","","","","","Not Reported","Yuba","ca"
"CA3100023","AUBURN MOBILE HOME VILLAGE","Y","CA","9","","","A","","CWS","","GW","P","59","State","GW","Y","N","N","23","Y","BECKMAN, DONALD","EL DORADO HILLS","95762","US","CA","","","","","Not Reported","Placer","ca"
"CA2910002","CITY OF NEVADA CITY","Y","CA","9","","","A","","CWS","","SW","L","3001","State","SW","Y","N","N","1252","Y","OLSON, CATRINA","NEVADA CITY","95959","US","CA","","","","","NEVADA CITY","Nevada","ca"
"CA2600620","MOUNTAIN MEADOWS MWC","Y","CA","9","","","A","","CWS","","GW","P","225","State","GW","Y","N","N","144","Y","RICHMAN, DAVID","MAMMOTH LAKES","93546","US","CA","","","","","Not Reported","Mono","ca"
"CA0900308","QUINTETTE SERVICE CORP WATER","Y","CA","9","","","A","","CWS","","GW","P","79","State","GW","Y","N","N","52","Y","WILSON, TRACY","GEORGETOWN","95634","US","CA","","","","","Not Reported","El Dorado","ca"
"CA5400940","SIERRA KING HOMEOWNERS ASSN","Y","CA","9","","","A","","CWS","","GW","P","142","State","GW","Y","N","N","43","Y","CRAPSEY, MALINEE","THREE RIVERS","93271","US","CA","","","","","Not Reported","Tulare","ca"
"CA1010023","CITY OF ORANGE COVE","Y","CA","9","","","A","","CWS","","SW","L","9780","State","SW","Y","N","N","1694","Y","HERNANDEZ, RUDY","ORANGE COVE","93646","US","CA","","","","","ORANGE COVE","Fresno","ca"
"CA5610011","SANTA PAULA WATER SYSTEM","Y","CA","9","","","A","","CWS","","GW","L","30752","State","GW","Y","N","N","7322","Y","SAUNIRE, CLETE","SANTA PAULA","93061","US","CA","","","","","Not Reported","Ventura","ca"
"CA1410510","LADWP - MANZANAR","Y","CA","9","","","A","","CWS","","GW","L","0","State","GW","Y","Y","N","2","Y","MOOSBRUGGER, EARL","BISHOP","93514","US","CA","","","","","BISHOP","Inyo","ca"
"CA1410004","LADWP - BIG PINE","Y","CA","9","","","A","","CWS","","GW","L","0","State","GW","Y","Y","N","2","Y","MOOSBRUGGER, EARL","BISHOP","93514","US","CA","","","","","Not Reported","Inyo","ca"
"CA1410003","LADWP - LONE PINE","Y","CA","9","","","A","","CWS","","GW","L","1967","State","GW","Y","Y","N","2","Y","MOOSBRUGGER, EARL","BISHOP","93514","US","CA","","","","","Not Reported","Inyo","ca"
"CA1410002","LADWP - INDEPENDENCE","Y","CA","9","","","A","","CWS","","GW","L","0","State","GW","Y","Y","N","2","Y","MOOSBRUGGER, EARL","BISHOP","93514","US","CA","","","","","Not Reported","Inyo","ca"
"CA3700905","PINE HILLS MUTUAL WATER COMPANY","Y","CA","9","","","A","","CWS","","SW","P","760","State","GU","Y","N","N","236","Y","WAITE, KEN","JULIAN","92036","US","CA","","","","","Not Reported","San Diego","ca"
"CA3301040","RIVERDALE ESTATES","Y","CA","9","","","A","","CWS","","GW","P","300","State","GW","Y","N","N","187","Y","VALADES, GIOVANNA","INDIO","92201","US","CA","","","","","Not Reported","Riverside","ca"
"CA1010501","NPS-GRANT GROVE","Y","CA","9","","","A","","CWS","","GW","F","2950","State","GW","Y","N","N","100","Y","AVUSUGLO-AHIA, BRIGHT","THREE RIVERS","93271","US","CA","","","","","Not Reported","Fresno","ca"
"CA5410513","NPS-ASH MOUNTAIN","Y","CA","9","","","A","","CWS","","SW","F","2930","State","GU","Y","N","N","45","Y","AVUSUGLO-AHIA, BRIGHT","THREE RIVERS","93271","US","CA","","","","","Not Reported","Tulare","ca"
"CA5410503","NPS-WOLVERTON","Y","CA","9","","","A","","CWS","","SW","F","2940","State","SW","Y","N","N","125","Y","AVUSUGLO-AHIA, BRIGHT","THREE RIVERS","93271","US","CA","","","","","Not Reported","Tulare","ca"
"CA3110036","NORTH TAHOE PUD - DOLLAR COVE","Y","CA","9","","","A","","CWS","","GW","L","800","State","GWP","Y","N","N","273","Y","JOHNSON, BRAD","TAHOE VISTA","96148","US","CA","","","","","Not Reported","Placer","ca"
"CA3110023","NORTH TAHOE PUD - CARNELIAN WOODS","Y","CA","9","","","A","","CWS","","GW","L","524","State","GW","Y","N","N","268","Y","JOHNSON, BRAD","TAHOE VISTA","96148","US","CA","","","","","Not Reported","Placer","ca"
"CA3110001","NORTH TAHOE PUD - MAIN","Y","CA","9","","","A","","CWS","","SW","L","5300","State","SW","Y","N","N","3256","Y","JOHNSON, BRAD","TAHOE VISTA","96148","US","CA","","","","","Not Reported","Placer","ca"
"CA4500018","SALT CREEK SUMMER HOMES","Y","CA","9","","","A","","CWS","","GW","P","151","State","GW","Y","N","N","47","Y","EDWARDS, GEORGE","REDDING","96001","US","CA","","","","","Not Reported","Shasta","ca"
"WI1130248","COUNTRY VIEW MOBILE HOME COMMUNITY LLC","Y","WI","5","","","A","","CWS","","GW","P","80","State","GW","Y","N","N","49","Y","REEVES, CHRISTOPHER","LOS ANGELES","90069","US","CA","","","","","OREGON","Dane","wi"
"CA4900577","RIO LINDO ADVENTIST ACADEMY","Y","CA","9","","","A","","CWS","","SW","P","332","State","GU","Y","N","Y","54","Y","ANDERSON, VIC","HEALDSBURG","95448","US","CA","","","","","Not Reported","Sonoma","ca"
"CA4900587","BRAND WATER COMPANY","Y","CA","9","","","A","","CWS","","GW","P","112","State","GW","Y","N","N","34","Y","MARTINEZ, CHRISTY","SANTA ROSA","95403","US","CA","","","","","Not Reported","Sonoma","ca"
"CA3600260","SMILEY PARK COUNTRY CLUB","Y","CA","9","","","A","","CWS","","GW","P","530","State","GW","Y","N","N","106","Y","MCCORMICK, MAUREEN","RANCHO CUCAMONGA","91729","US","CA","","","","","Not Reported","San Bernardino","ca"
"CA2010016","RIVERSTONE/ROOTCREEK WATER DISTRICT","Y","CA","9","","","A","","CWS","","GW","P","1419","State","GW","Y","N","N","430","Y","BERRY, JULIA","FRESNO","93729","US","CA","","","","","MADERA","Madera","ca"
"CA3610038","RIALTO, CITY OF","Y","CA","9","","","A","","CWS","","SW","L","54453","State","SWP","Y","N","N","11579","Y","KRAFT, AARON","RIALTO","92377","US","CA","","","","","RIALTO","San Bernardino","ca"
"CA3610048","TERRACE WATER COMPANY","Y","CA","9","","","A","","CWS","","GW","P","2000","State","GW","Y","N","N","603","Y","WARFIELD, CAROL","COLTON","92324","US","CA","","","","","Not Reported","San Bernardino","ca"
"CA2400053","EL NIDO MOBILE HOME PARK","Y","CA","9","","","A","","CWS","","GW","P","137","State","GW","Y","N","N","50","Y","SCOTT, BILL & KELLY","SACRAMENTO","95864","US","CA","","","","","Not Reported","Merced","ca"
"CA3910022","LITTLE POTATO SLOUGH MUTUAL","Y","CA","9","","","A","","CWS","","SW","P","350","State","SW","Y","Y","N","202","Y","ARNERICH, DENYSE","LODI","95242","US","CA","","","","","Not Reported","San Joaquin","ca"
"CA0410007","PARADISE IRRIGATION DISTRICT","Y","CA","9","","","A","","CWS","","SW","L","4290","State","SW","Y","N","N","1300","Y","LADRINI, JIM","PARADISE","95969","US","CA","","","","","Not Reported","Butte","ca"
"CA2600621","WHITE MOUNTAIN MUTUAL WATER COMPANY","Y","CA","9","","","A","","CWS","","GW","P","142","State","GW","Y","N","N","43","Y","BAUER, ROBERT","BISHOP","93515","US","CA","","","","","Not Reported","Mono","ca"
"CA3600123","HI DESERT MWC","Y","CA","9","","","A","","CWS","","GW","P","112","State","GW","Y","N","N","32","Y","QUINN, NORMA","BARSTOW","92311","US","CA","","","","","Not Reported","San Bernardino","ca"
"CA4900843","SONOMA RANCH MUTUAL WATER COMPANY","Y","CA","9","","","A","","CWS","","GW","P","178","State","GW","Y","N","N","54","Y","MOSS, KELLY","ROHNERT PARK","94928","US","CA","","","","","Not Reported","Sonoma","ca"
"CA3600025","BAR-LEN MWC","Y","CA","9","","","A","","CWS","","GW","P","124","State","GW","Y","N","N","39","Y","SLUSSER, CASEY","BARSTOW","92311","US","CA","","","","","Not Reported","San Bernardino","ca"
"CA3200114","EVERGREEN MOTEL & MHP","Y","CA","9","","","A","","CWS","","GW","P","28","State","GW","Y","N","N","28","Y","STAEHLE, ROBERT","CLAYTON","94517","US","CA","","","","","Not Reported","Plumas","ca"
"CA1000063","NEW AUBERRY WATER ASSOCIATION","Y","CA","9","","","A","","CWS","","GW","P","120","State","GW","Y","N","N","35","Y","COMER, JUDY","AUBERRY","93602","US","CA","","","","","Not Reported","Fresno","ca"
"CA1400002","STARLITE COMMUNITY SERVICE DISTRICT","Y","CA","9","","","A","","CWS","","GW","P","175","State","GW","Y","N","N","65","Y","STRAND, CATHERINE","BISHOP","93514","US","CA","","","","","Not Reported","Inyo","ca"
"CA1400024","ROCKING K RANCH ESTATES MUTUAL WATER CO.","Y","CA","9","","","A","","CWS","","GW","P","27","State","GW","Y","N","N","14","Y","DILLARD, CRONUS","BISHOP","93514","US","CA","","","","","Not Reported","Inyo","ca"
"CA3610014","COLTON, CITY OF","Y","CA","9","","","A","","CWS","","GW","L","47625","State","GW","Y","N","N","10352","Y","MORA, ISAAC","COLTON","92324","US","CA","","","","","COLTON","San Bernardino","ca"
"CA4500066","CLEAR CREEK MOBILE PARK","Y","CA","9","","","A","","CWS","","GW","P","86","State","GW","Y","N","N","40","Y","SCHOTT-WHEELER, KAREN","REDDING","96001","US","CA","","","","","Not Reported","Shasta","ca"
"CA4700528","SISKIYOU CO. ROLLING HILLS MWC","Y","CA","9","","","A","","CWS","","GW","P","300","State","GW","Y","N","N","95","Y","KISCHE, NANETTE","YREKA","96097","US","CA","","","","","Not Reported","Siskiyou","ca"
"CA4900736","CLEAR CREEK WATER COMPANY","Y","CA","9","","","A","","CWS","","GW","P","40","State","GW","Y","N","N","19","Y","MILLER, LISA","CLOVERDALE","95425","US","CA","","","","","Not Reported","Sonoma","ca"
"CA2010002","CITY OF MADERA","Y","CA","9","","","A","","CWS","","GW","L","66225","State","GW","Y","N","N","14144","Y","SCARSBOROUGH, JOHN","MADERA","93637","US","CA","","","","","MADERA","Madera","ca"
"CA2010005","YOSEMITE SPRING PARK UTIL CO","Y","CA","9","","","A","","CWS","","GW","P","6224","State","GW","Y","N","N","1902","Y","PENROSE, JONATHAN","COARSEGOLD","93614","US","CA","","","","","Not Reported","Madera","ca"
"CA3303035","THERMAL PARK","Y","CA","9","","","A","","CWS","","GW","P","73","State","GW","Y","N","N","22","Y","ROMERO, CRISTOBAL","THERMAL","92274","US","CA","","","","","Not Reported","Riverside","ca"
"CA4500203","RAPID RIVER MOBILEHOME PARK","Y","CA","9","","","A","","CWS","","GW","P","92","State","GW","Y","N","N","44","Y","BROWN, MELINDA","REDDING","96003","US","CA","","","","","Not Reported","Shasta","ca"
"CA1206004","PALMER CREEK CSD","Y","CA","9","","","A","","CWS","","GW","L","320","State","GW","Y","N","N","131","Y","BOOKER, ANN","FORTUNA","95540","US","CA","","","","","Not Reported","Humboldt","ca"
"CA4110012","CUESTA LA HONDA GUILD INC","Y","CA","9","","","A","","CWS","","SW","P","832","State","SW","Y","N","N","297","Y","EHRHARDT, DAVID","LA HONDA","94020","US","CA","","","","","Not Reported","San Mateo","ca"
"CA4300834","CAMP SARATOGA","Y","CA","9","","","A","","CWS","","SW","P","450","State","SW","N","N","N","15","U","SMITH, JACK","SAN JOSE","95128","US","CA","","","","","Not Reported","Santa Clara","ca"
"CA1500525","LAKEVIEW RANCHOS MUTUAL WATER COMPANY","Y","CA","9","","","A","","CWS","","GW","P","120","State","GW","Y","N","N","71","Y","KENNISON, DAN","WELDON","93283","US","CA","","","","","Not Reported","Kern","ca"
"CA1502247","DESERT BREEZE MOBILE HOME ESTATES","Y","CA","9","","","A","","CWS","","GW","P","82","State","GW","Y","N","N","63","Y","EPSTEIN, DANIEL","ENCINO","91416","US","CA","","","","","Not Reported","Kern","ca"
"GA1610023","PINE TREE MOBILE HOME PARK","Y","GA","4","","","A","","CWS","","GW","P","122","State","GW","Y","N","N","47","Y","HINDS, RUSSELL","OAKDALE","95361","US","CA","Y","03-MAY-03","Y","19-OCT-18","Not Reported","Jeff Davis","ga"
"CA1000405","PIEDRA PARK ASSOCIATION","Y","CA","9","","","A","","CWS","","GW","P","25","State","GW","Y","N","N","15","Y","WILLARD, TERRY","PIEDRA","93649","US","CA","","","","","Not Reported","Fresno","ca"
"OK3001934","OAKS MOBILE HOME PARK","Y","OK","6","","","A","","CWS","600005","SW","P","250","State","SWP","Y","N","N","96","Y","OAKS MOBILE HOME PARK","LADERA RANCH","92694","US","CA","Y","10-AUG-09","","","Not Reported","Creek","ok"
"CA4300578","ANGELO LANE WATER COMPANY","Y","CA","9","","","A","","CWS","","GW","P","52","State","GW","Y","N","N","15","Y","HANKO, CHRIS","GILROY","95020","US","CA","","","","","Not Reported","Santa Clara","ca"
"CA2410700","CASTLE AIRPORT","Y","CA","9","","","A","","CWS","","GW","L","1650","State","GW","Y","N","N","134","Y","MALTA, SCOTT","ATWATER","95301","US","CA","","","","","Not Reported","Merced","ca"
"AZ0408018","KATHERINE RESORTS LANDING","Y","AZ","9","","","A","","CWS","","GW","P","58","State","GW","Y","N","N","44","Y","KATHERINE RESORTS WATER COMPANY","LA MESA","91941","US","CA","N","","Y","25-MAR-20","BULLHEAD CITY","Mohave","az"
"CA3400179","MC CLELLAN MHP","Y","CA","9","","","A","","CWS","","GW","P","700","State","GW","Y","N","N","199","Y","EYLES, BEVERLY","SACRAMENTO","95660","US","CA","","","","","Not Reported","Sacramento","ca"
